site,Fv/Fm,Fo,Fm,e'PS2R,NPQ,Time,Treatment,Exp
7,0.633,216,589,0.38,1.31,24,UV Transmitted,Field
8,0.634,211,576,0.412,1.065,24,UV Transmitted,Field
9,0.587,199,482,0.375,2.013,24,UV Transmitted,Field
11,0.685,29,92,0.474,0,24,Site Reference,Field
12,0.631,59,160,0.482,0.135,24,Site Reference,Field
13,0.71,107,369,0.475,1.016,24,Site Reference,Field
14,0.665,186,556,0.412,1.317,24,Site Reference,Field
15,0.58,154,367,0.366,1.134,24,Site Reference,Field
16,0.578,182,431,0.359,1.092,24,Site Reference,Field
17,0.618,270,707,0.396,1.155,24,Site Reference,Field
18,0.607,155,394,0.364,0.841,24,Site Reference,Field
19,0.716,29,102,0.494,-0.37,24,Site Reference,Field
1,0.614,157,407,0.462,1.576,24,Site Reference,Field
20,0.569,124,288,0.41,1.149,24,Site Reference,Field
2,0.573,108,253,0.366,0.931,24,Site Reference,Field
3,0.632,139,378,0.412,1.363,24,Site Reference,Field
4,0.683,151,477,0.471,1.338,24,Site Reference,Field
5,0.647,220,623,0.427,1.585,24,Site Reference,Field
6,0.646,199,562,0.438,0.892,24,Site Reference,Field
7,0.618,141,369,0.401,0.922,24,Site Reference,Field
8,0.597,81,201,0.451,1.209,24,Site Reference,Field
9,0.626,70,187,0.408,1.634,24,Site Reference,Field
11,0.795,210,1026,0.581,1.137,192,UV Filtered,Field
12,0.742,144,558,0.536,1.138,192,UV Filtered,Field
13,0.786,100,468,0.652,0.895,192,UV Filtered,Field
14,0.833,114,681,0.637,1.713,192,UV Filtered,Field
15,0.776,169,754,0.547,1.205,192,UV Filtered,Field
16,0.823,152,860,0.652,2.44,192,UV Filtered,Field
17,0.784,230,1066,0.578,1.379,192,UV Filtered,Field
18,0.771,238,1038,0.574,1.027,192,UV Filtered,Field
19,0.8,182,910,0.6,0.509,192,UV Filtered,Field
1,0.8,233,1163,0.555,1.383,192,UV Filtered,Field
20,0.789,167,791,0.573,0.595,192,UV Filtered,Field
2,0.792,151,726,0.59,1.327,192,UV Filtered,Field
3,0.755,179,730,0.559,0.325,192,UV Filtered,Field
4,0.793,170,823,0.555,1.596,192,UV Filtered,Field
5,0.784,251,1161,0.577,1.037,192,UV Filtered,Field
6,0.81,142,747,0.559,1.153,192,UV Filtered,Field
7,0.808,187,973,0.587,1.68,192,UV Filtered,Field
8,0.81,159,839,0.64,2.467,192,UV Filtered,Field
9,0.757,235,966,0.536,2.047,192,UV Filtered,Field
11,0.824,131,744,0.631,1.078,192,UV Transmitted,Field
12,0.82,114,634,0.606,0.771,192,UV Transmitted,Field
13,0.799,146,728,0.591,0.947,192,UV Transmitted,Field
14,0.827,135,781,0.625,1.251,192,UV Transmitted,Field
15,0.806,155,801,0.592,0.921,192,UV Transmitted,Field
16,0.804,199,1015,0.614,1.63,192,UV Transmitted,Field
17,0.801,63,317,0.642,0.668,192,UV Transmitted,Field
18,0.812,143,759,0.612,1.2,192,UV Transmitted,Field
19,0.81,183,962,0.605,1.264,192,UV Transmitted,Field
1,0.787,219,1030,0.523,2.093,192,UV Transmitted,Field
20,0.836,119,724,0.628,1.567,192,UV Transmitted,Field
2,0.84,94,589,0.664,1.274,192,UV Transmitted,Field
3,0.815,118,637,0.62,0.966,192,UV Transmitted,Field
4,0.789,261,1235,0.54,1.308,192,UV Transmitted,Field
5,0.8,177,887,0.611,1.117,192,UV Transmitted,Field
6,0.824,129,734,0.587,1.89,192,UV Transmitted,Field
7,0.818,183,1004,0.594,0.916,192,UV Transmitted,Field
8,0.821,159,886,0.617,1.496,192,UV Transmitted,Field
9,0.796,196,960,0.618,2.491,192,UV Transmitted,Field
11,0.87,95,732,0.627,1.259,192,Site Reference,Field
12,0.835,112,678,0.65,2.04,192,Site Reference,Field
13,0.831,122,721,0.629,0.981,192,Site Reference,Field
14,0.814,190,1022,0.588,2.051,192,Site Reference,Field
15,0.837,124,759,0.628,1.138,192,Site Reference,Field
16,0.835,121,735,0.64,1.644,192,Site Reference,Field
17,0.814,238,1280,0.588,2.033,192,Site Reference,Field
18,0.834,106,640,0.606,1.254,192,Site Reference,Field
19,0.872,71,554,0.689,1.43,192,Site Reference,Field
1,0.842,117,740,0.624,2.394,192,Site Reference,Field
20,0.876,54,437,0.713,1.913,192,Site Reference,Field
2,0.829,111,651,0.613,2.071,192,Site Reference,Field
3,0.825,145,830,0.61,1.345,192,Site Reference,Field
4,0.838,100,619,0.587,0.864,192,Site Reference,Field
5,0.816,202,1100,0.614,1.736,192,Site Reference,Field
6,0.823,158,895,0.599,0.63,192,Site Reference,Field
7,0.819,113,625,0.585,1.042,192,Site Reference,Field
8,0.859,44,313,0.679,1.795,192,Site Reference,Field
9,0.877,44,359,0.694,1.895,192,Site Reference,Field
11,0.144,113,132,0,0.419,0,UV Filtered,UV Test
12,0.048,80,84,0.026,0.091,0,UV Filtered,UV Test
13,0.041,233,243,0.067,0.157,0,UV Filtered,UV Test
14,0,132,129,0.029,0,0,UV Filtered,UV Test
15,0,112,105,0.073,0,0,UV Filtered,UV Test
16,0.02,145,148,0.03,0,0,UV Filtered,UV Test
17,0.029,168,173,0.016,0.341,0,UV Filtered,UV Test
18,0.081,181,197,0.024,0.201,0,UV Filtered,UV Test
19,0.004,237,238,0.02,0.214,0,UV Filtered,UV Test
1,0.044,87,91,0.114,0.152,0,UV Filtered,UV Test
20,0.094,125,138,0.035,0,0,UV Filtered,UV Test
2,0.021,94,96,0.05,0,0,UV Filtered,UV Test
3,0,268,267,0.018,0.219,0,UV Filtered,UV Test
4,0.077,60,65,0.17,0.383,0,UV Filtered,UV Test
5,0,81,78,0,0,0,UV Filtered,UV Test
6,0,154,153,0,0.117,0,UV Filtered,UV Test
7,0.003,304,305,0.013,0.344,0,UV Filtered,UV Test
8,0.101,133,148,0.039,0.451,0,UV Filtered,UV Test
9,0,159,150,0.026,0,0,UV Filtered,UV Test
11,0.034,115,119,0.047,0.123,0,UV Transmitted,UV Test
12,0.069,108,116,0.038,0.115,0,UV Transmitted,UV Test
13,0.005,185,186,0.015,0,0,UV Transmitted,UV Test
14,0.033,203,210,0.043,0.288,0,UV Transmitted,UV Test
15,0.013,220,223,0.013,0.403,0,UV Transmitted,UV Test
16,0.049,155,163,0.017,0,0,UV Transmitted,UV Test
17,0.052,91,96,0.046,0.477,0,UV Transmitted,UV Test
18,0,120,110,0.086,0.358,0,UV Transmitted,UV Test
19,0.107,117,131,0,0.31,0,UV Transmitted,UV Test
1,0,133,125,0.066,0.645,0,UV Transmitted,UV Test
20,0,196,194,0,0.162,0,UV Transmitted,UV Test
2,0.041,71,74,0.094,0.396,0,UV Transmitted,UV Test
3,0,90,85,0.036,0.024,0,UV Transmitted,UV Test
4,0.097,195,216,0.064,0.256,0,UV Transmitted,UV Test
5,0.029,134,138,0,0.062,0,UV Transmitted,UV Test
6,0.063,59,63,0.139,0.75,0,UV Transmitted,UV Test
7,0.008,118,119,0,0.24,0,UV Transmitted,UV Test
8,0,174,168,0.018,0.474,0,UV Transmitted,UV Test
9,0.133,52,60,0.133,0.333,0,UV Transmitted,UV Test
11,0.289,32,45,0.143,0.607,0,Site Reference,UV Test
12,0.027,109,112,0.054,0.514,0,Site Reference,UV Test
13,0.118,105,119,0.072,0.725,0,Site Reference,UV Test
14,0.029,101,104,0.056,0.444,0,Site Reference,UV Test
15,0.09,81,89,0,0.369,0,Site Reference,UV Test
16,0.14,43,50,0.057,0,0,Site Reference,UV Test
17,0,112,104,0.028,0.465,0,Site Reference,UV Test
18,0.105,85,95,0.083,0,0,Site Reference,UV Test
19,0.026,74,76,0.058,0.462,0,Site Reference,UV Test
1,0.118,60,68,0.056,0.259,0,Site Reference,UV Test
20,0,67,61,0.132,0.605,0,Site Reference,UV Test
2,0.246,43,57,0.109,0.239,0,Site Reference,UV Test
3,0.094,58,64,0.192,1.462,0,Site Reference,UV Test
4,0.091,100,110,0.032,0.158,0,Site Reference,UV Test
5,0,78,78,0.096,0.5,0,Site Reference,UV Test
6,0.11,97,109,0.035,0.267,0,Site Reference,UV Test
7,0.212,41,52,0.022,0.156,0,Site Reference,UV Test
8,0.18,41,50,0.125,0.563,0,Site Reference,UV Test
9,0.37,17,27,0.25,0.688,0,Site Reference,UV Test
11,0.53,148,315,0.378,0.307,24,UV Filtered,UV Test
12,0.367,205,324,0.19,1.365,24,UV Filtered,UV Test
13,0.617,202,528,0.369,0.595,24,UV Filtered,UV Test
14,0.553,320,716,0.329,1.557,24,UV Filtered,UV Test
15,0.373,180,287,0.22,0.191,24,UV Filtered,UV Test
16,0.469,259,488,0.305,1.008,24,UV Filtered,UV Test
17,0.555,234,526,0.369,0.941,24,UV Filtered,UV Test
18,0.463,139,259,0.322,0,24,UV Filtered,UV Test
19,0.614,141,365,0.414,0.281,24,UV Filtered,UV Test
1,0.457,195,359,0.299,1.15,24,UV Filtered,UV Test
20,0.499,335,668,0.311,1.075,24,UV Filtered,UV Test
2,0.565,210,483,0.365,1.556,24,UV Filtered,UV Test
3,0.509,233,475,0.298,0.537,24,UV Filtered,UV Test
4,0.565,157,361,0.4,1.49,24,UV Filtered,UV Test
5,0.475,267,509,0.311,1.324,24,UV Filtered,UV Test
6,0.548,270,597,0.324,1.279,24,UV Filtered,UV Test
7,0.601,333,834,0.375,1.111,24,UV Filtered,UV Test
8,0.571,85,198,0.39,0,24,UV Filtered,UV Test
9,0.483,341,659,0.282,1.241,24,UV Filtered,UV Test
11,0.662,156,461,0.472,0.996,24,UV Transmitted,UV Test
12,0.56,195,443,0.366,1.421,24,UV Transmitted,UV Test
13,0.591,106,259,0.404,0,24,UV Transmitted,UV Test
14,0.622,99,262,0.392,0.092,24,UV Transmitted,UV Test
15,0.557,243,549,0.349,1.153,24,UV Transmitted,UV Test
16,0.516,281,581,0.304,1.031,24,UV Transmitted,UV Test
17,0.633,137,373,0.43,1.169,24,UV Transmitted,UV Test
18,0.524,138,290,0.342,0.551,24,UV Transmitted,UV Test
19,0.654,120,347,0.442,0.614,24,UV Transmitted,UV Test
1,0.45,311,565,0.249,1.604,24,UV Transmitted,UV Test
20,0.501,209,419,0.34,0.425,24,UV Transmitted,UV Test
2,0.578,119,282,0.447,1.738,24,UV Transmitted,UV Test
3,0.53,211,449,0.324,2.162,24,UV Transmitted,UV Test
4,0.672,223,680,0.44,0.504,24,UV Transmitted,UV Test
