Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
SWcontrol-mean,L1,W,mean,Lab Control,108.1671932,86.43895528,43.70096669,434.6918597,38.93598411,446.1780901,233.7245362,1.096417847,9.117553535,169.0759061,0.488978405,945.6594952,10.21397138
SWcontrol-dev,L1,W,dev,Lab Control,4.910010889,4.842880123,0.419800013,8.144911155,3.289373547,4.362823853,11.85658849,0.068151225,0.138177764,6.742746381,0.013855885,21.68716092,0.188507739
SW-control2-1,L2,W,sample,Lab Control,126.4716414,111.1321782,29.95706934,389.0063386,31.65604577,447.2969103,154.5045613,0.723505269,7.13686961,172.7452933,0.356670297,842.7278346,7.860374879
SW-control2-2,L2,W,sample,Lab Control,105.2755791,91.6163164,21.75191409,372.7949508,23.58558335,417.2418624,171.3902014,0.492632171,7.140480852,136.9538138,0.331042241,786.4145451,7.633113022
SW-control2-3,L2,W,sample,Lab Control,107.6971977,103.9599276,24.98403549,368.6808853,25.95854421,407.8757705,149.1315164,0.646508148,6.624050546,154.9025073,0.328868658,780.4121067,7.270558694
SWcontrol2-mean,L2,W,mean,Lab Control,113.1481394,102.2361407,25.56433964,376.8273916,27.06672444,424.1381811,158.342093,0.620881863,6.967133669,154.8672048,0.338860399,803.1848288,7.588015532
SWcontrol2-dev,L2,W,dev,Lab Control,9.472867862,8.060016383,3.374779782,8.774069622,3.386654049,16.81618217,9.48357357,0.095979605,0.242600883,14.61183162,0.012624724,28.06830119,0.242893832
SD-control-1,L3,D,sample,Lab Control,124.0695147,146.9106154,42.04274703,525.4138782,37.80471324,443.3946878,276.0436994,2.963622538,16.86511758,226.7580757,0.352126203,1152.285168,19.82874012
SD-control-2,L3,D,sample,Lab Control,118.0753488,95.25927938,36.27312705,441.248133,49.42301537,456.3476066,194.3470675,1.507826159,10.62282506,180.9554218,0.473575987,934.6259711,12.13065122
SD-control-3,L3,D,sample,Lab Control,107.9413058,124.1086305,38.50460033,376.2873198,42.98935868,412.571885,143.2936918,1.860341062,10.26031286,205.6025895,0.396366404,833.1249069,12.12065393
SD-control-mean,L3,D,mean,Lab Control,116.6953897,122.0928417,38.94015814,447.649777,43.40569576,437.4380598,204.5614862,2.110596586,12.58275183,204.4386956,0.407356198,973.3453487,14.69334842
SD-control-dev,L3,D,dev,Lab Control,6.656224932,21.13468998,2.375487546,61.04871489,4.752279348,18.36100058,54.67413703,0.620111089,3.031704258,18.71695776,0.050186945,133.1420562,3.631272587
