Pigment,Treatment,Site,mean,n,sd
lutein,UV Filtered,1,20.448093743333335,3,1.414985270829845
lutein,UV Filtered,11,19.476227764999997,4,1.6044561309825167
lutein,UV Filtered,12,21.421927916666668,3,1.990344922279527
lutein,UV Filtered,13,18.690725653333335,3,1.480183450721489
lutein,UV Filtered,14,21.36190043,3,1.976138489160068
lutein,UV Filtered,15,19.84729108333333,3,0.6819590644672142
lutein,UV Filtered,16,23.096112413333334,3,2.310091658997111
lutein,UV Filtered,17,22.34081389,3,3.061149328069787
lutein,UV Filtered,18,19.579930493333332,3,0.7810328254345748
lutein,UV Filtered,19,18.675796206666668,3,0.9574164966904373
lutein,UV Filtered,2,20.9249497025,4,2.6593078231405376
lutein,UV Filtered,20,22.478782186666667,3,1.9327533140515665
lutein,UV Filtered,3,19.352330086666665,3,1.1679405267582101
lutein,UV Filtered,4,22.615410955,4,1.1652139685133622
lutein,UV Filtered,5,22.070955143333332,3,1.4421731519596217
lutein,UV Filtered,6,20.075427336666667,3,0.44129630778456086
lutein,UV Filtered,7,22.550712113333333,3,1.5086133572462617
lutein,UV Filtered,8,20.869963706666667,3,0.6637392742267525
lutein,UV Filtered,9,23.745552683333333,3,1.8956157818879573
lutein,UV Transmitted,1,23.547014803333333,3,0.7962000452202985
lutein,UV Transmitted,11,18.119692456666666,3,1.724093403830414
lutein,UV Transmitted,12,20.557229456666665,3,0.7872341402953639
lutein,UV Transmitted,13,20.396858836666667,3,2.2578394211894786
lutein,UV Transmitted,14,20.35372108,3,2.3600426084551556
lutein,UV Transmitted,15,19.328607773333335,3,1.9529585529822038
lutein,UV Transmitted,16,21.6142872,3,0.1337129964230673
lutein,UV Transmitted,17,19.198283763333333,3,0.6281087311822909
lutein,UV Transmitted,18,20.557562805,4,1.3537639847876992
lutein,UV Transmitted,19,18.238071926666667,3,1.0142025354330855
lutein,UV Transmitted,2,19.70473584333333,3,1.8264169957747365
lutein,UV Transmitted,20,22.229496783333335,3,2.896500787199812
lutein,UV Transmitted,3,19.836275136666668,3,2.500976632190119
lutein,UV Transmitted,4,19.577983486666668,3,1.2897323330180595
lutein,UV Transmitted,5,20.375520093333332,3,1.501084819104372
lutein,UV Transmitted,6,19.872207073333332,3,1.4952698912606994
lutein,UV Transmitted,7,17.546622613333334,3,1.2269065721352332
lutein,UV Transmitted,8,20.67366552,3,0.3883189382893854
lutein,UV Transmitted,9,21.628660173333333,3,1.127929118494987
lutein,Site Reference,1,21.538269426666666,3,1.4571968182477866
lutein,Site Reference,11,21.4408719075,4,1.145949934936619
lutein,Site Reference,12,20.170115536666668,3,1.0600092010085502
lutein,Site Reference,13,20.329762640000002,3,1.3524742174264157
lutein,Site Reference,14,21.76614862,3,1.0729931470204563
lutein,Site Reference,15,20.172092833333334,3,2.157356607908264
lutein,Site Reference,16,23.218799766666667,3,1.5437267990083856
lutein,Site Reference,17,21.38398871,3,1.8382004038745525
lutein,Site Reference,18,21.98973272,4,1.977275676713214
lutein,Site Reference,19,18.4593870575,4,0.34364538568797764
lutein,Site Reference,2,22.954342843333333,3,1.5806318483806494
lutein,Site Reference,20,22.273623213333334,3,3.088352888367341
lutein,Site Reference,3,21.354678113333335,3,3.10377862696008
lutein,Site Reference,4,20.548384246666668,3,0.20052167405419574
lutein,Site Reference,5,21.821128163333334,3,1.4449958468635191
lutein,Site Reference,6,21.06958657,3,1.9891821988388854
lutein,Site Reference,7,17.505330394333335,3,6.72487553367567
lutein,Site Reference,8,23.102743136666668,3,0.41590602739233834
lutein,Site Reference,9,24.674923125,4,2.8315211018532818
lutein,Lab Control,L1,18.1732841,3,0.33176975891837596
lutein,Lab Control,L2,16.917338906666668,3,0.06953910066051024
lutein,Lab Control,L3,18.484178133333334,3,1.7431526621269837
zeaxanthin,UV Filtered,1,7.10251224,3,0.9437758006846193
zeaxanthin,UV Filtered,11,6.73807272575,4,1.3625148065703396
zeaxanthin,UV Filtered,12,7.824537908333333,3,1.2760614718793306
zeaxanthin,UV Filtered,13,6.217507675,3,0.4389864340881983
zeaxanthin,UV Filtered,14,7.261550264666667,3,0.744087531800459
zeaxanthin,UV Filtered,15,7.695121887,3,0.21689683523696812
zeaxanthin,UV Filtered,16,7.780442176666666,3,1.0792428223362485
zeaxanthin,UV Filtered,17,7.337028814333333,3,1.3780833443253486
zeaxanthin,UV Filtered,18,6.7695988326666665,3,1.0309011727886528
zeaxanthin,UV Filtered,19,6.441724632666666,3,0.5921809148320994
zeaxanthin,UV Filtered,2,7.1999723555,4,1.684667065664811
zeaxanthin,UV Filtered,20,7.282895745,3,1.0175038078748992
zeaxanthin,UV Filtered,3,6.932958308333333,3,0.40116298526472716
zeaxanthin,UV Filtered,4,7.3086568207500004,4,0.4919587747674151
zeaxanthin,UV Filtered,5,7.829251729666667,3,1.2248369705857365
zeaxanthin,UV Filtered,6,7.70042163,3,0.5923570745431815
zeaxanthin,UV Filtered,7,7.708790633,3,0.8187120571820926
zeaxanthin,UV Filtered,8,6.18913903,3,0.12655412346643946
zeaxanthin,UV Filtered,9,9.387824895333333,3,1.6424983629454188
zeaxanthin,UV Transmitted,1,8.831428646666666,3,0.31805395919266655
zeaxanthin,UV Transmitted,11,6.185530252333333,3,0.8420315069188499
zeaxanthin,UV Transmitted,12,7.191998419333333,3,0.11824629165593334
zeaxanthin,UV Transmitted,13,6.764767088,3,1.2399832522085812
zeaxanthin,UV Transmitted,14,6.763952110000001,3,1.1654256239304395
zeaxanthin,UV Transmitted,15,6.957786371333333,3,0.6652302825787496
zeaxanthin,UV Transmitted,16,6.821221047666667,3,0.4251252190801262
zeaxanthin,UV Transmitted,17,5.8244676433333336,3,0.34372313270286703
zeaxanthin,UV Transmitted,18,7.1938737685,4,0.4682963788537744
zeaxanthin,UV Transmitted,19,6.327407812666666,3,0.13591502237180433
zeaxanthin,UV Transmitted,2,6.969463463666667,3,0.4737615719482725
zeaxanthin,UV Transmitted,20,6.645380594,3,0.9195722347743887
zeaxanthin,UV Transmitted,3,7.197954773666667,3,0.912432267010156
zeaxanthin,UV Transmitted,4,5.6437842620000005,3,0.5809550987207674
zeaxanthin,UV Transmitted,5,5.905964460666667,3,0.391156402177089
zeaxanthin,UV Transmitted,6,6.996922843,3,0.6257176047065993
zeaxanthin,UV Transmitted,7,6.442557627333333,3,0.7444201728486369
zeaxanthin,UV Transmitted,8,6.208038823,3,0.41616298151737524
zeaxanthin,UV Transmitted,9,8.629352321,3,0.5080709287957644
zeaxanthin,Site Reference,1,8.222870194333334,3,0.2364895341669521
zeaxanthin,Site Reference,11,8.515620041,4,0.9772679094698153
zeaxanthin,Site Reference,12,8.608973420666667,3,1.0076045375455611
zeaxanthin,Site Reference,13,8.189080085666667,3,0.6382504037074663
zeaxanthin,Site Reference,14,9.329743922,3,0.8340978954220057
zeaxanthin,Site Reference,15,8.469078128,3,0.9740102904044878
zeaxanthin,Site Reference,16,7.665449938666667,3,0.3288197127003701
zeaxanthin,Site Reference,17,7.493091622666667,3,0.5088659717238042
zeaxanthin,Site Reference,18,8.13822378675,4,0.9682638582221351
zeaxanthin,Site Reference,19,6.840549498250001,4,0.7828032741094477
zeaxanthin,Site Reference,2,9.544863769666668,3,0.6950869678975964
zeaxanthin,Site Reference,20,7.933515740333334,3,0.7030929709016267
zeaxanthin,Site Reference,3,8.537298796,3,0.3884355709418572
zeaxanthin,Site Reference,4,6.406827106666666,3,0.3260711887713971
zeaxanthin,Site Reference,5,7.641631893666666,3,0.5120088202781146
zeaxanthin,Site Reference,6,8.541645473666666,3,0.7892916652628907
zeaxanthin,Site Reference,7,7.131078430666666,3,2.541483956983236
zeaxanthin,Site Reference,8,10.86584992,3,0.1586576839868803
zeaxanthin,Site Reference,9,10.0408815505,4,1.4349271763672695
zeaxanthin,Lab Control,L1,1.62807626,3,0.16999056285527267
zeaxanthin,Lab Control,L2,1.2129624443333333,3,0.15773178701008828
zeaxanthin,Lab Control,L3,1.812604451,3,0.3177582572877887
chlorophyll.b,UV Filtered,1,14.277837753333333,3,2.4303025680122294
chlorophyll.b,UV Filtered,11,13.440465103,4,3.69896568197938
chlorophyll.b,UV Filtered,12,11.821718857666667,3,2.6058720241171636
chlorophyll.b,UV Filtered,13,13.428461546666668,3,2.659776075006025
chlorophyll.b,UV Filtered,14,13.86191735,3,1.935566535157261
chlorophyll.b,UV Filtered,15,10.053228946333334,3,3.048215225781839
chlorophyll.b,UV Filtered,16,11.358995158,3,1.8380279909920114
chlorophyll.b,UV Filtered,17,12.162517701333334,3,2.31856044927251
chlorophyll.b,UV Filtered,18,12.906178336666667,3,0.6822618623240322
chlorophyll.b,UV Filtered,19,14.05257865,3,1.275481468393165
chlorophyll.b,UV Filtered,2,12.07985933825,4,3.0201361912617193
chlorophyll.b,UV Filtered,20,12.26956256,3,1.6606662271223662
chlorophyll.b,UV Filtered,3,12.35524079,3,2.3016182902294378
chlorophyll.b,UV Filtered,4,13.249972245,4,2.525489894212531
chlorophyll.b,UV Filtered,5,11.75407878,3,1.0614873154940483
chlorophyll.b,UV Filtered,6,12.54162816,3,0.43581005306725595
chlorophyll.b,UV Filtered,7,13.434640026666667,3,1.4252291845527985
chlorophyll.b,UV Filtered,8,17.972108866666666,3,0.7453344194569608
chlorophyll.b,UV Filtered,9,10.787623348,3,2.7473537248188484
chlorophyll.b,UV Transmitted,1,12.06123534,3,2.3325715908180316
chlorophyll.b,UV Transmitted,11,13.782380263333334,3,0.8967949439924775
chlorophyll.b,UV Transmitted,12,12.93180748,3,1.2165546341085878
chlorophyll.b,UV Transmitted,13,13.813704403333334,3,1.4681455113026278
chlorophyll.b,UV Transmitted,14,12.04880178,3,0.3456073084689859
chlorophyll.b,UV Transmitted,15,14.41574662,3,0.7320937178219519
chlorophyll.b,UV Transmitted,16,12.536111433333334,3,0.6254214512178436
chlorophyll.b,UV Transmitted,17,13.48405453,3,1.474980630816206
chlorophyll.b,UV Transmitted,18,11.988763729999999,4,1.2087970676837962
chlorophyll.b,UV Transmitted,19,13.25479266,3,0.7107693512607267
chlorophyll.b,UV Transmitted,2,13.677760006666666,3,1.186674647181399
chlorophyll.b,UV Transmitted,20,13.4410764,3,0.8412013519099446
chlorophyll.b,UV Transmitted,3,14.00816867,3,1.2906610184852327
chlorophyll.b,UV Transmitted,4,14.44752712,3,1.2665050791519785
chlorophyll.b,UV Transmitted,5,13.94618202,3,0.5899610836765852
chlorophyll.b,UV Transmitted,6,14.331832196666666,3,1.1248898399065264
chlorophyll.b,UV Transmitted,7,15.442464373333335,3,2.6315888135562773
chlorophyll.b,UV Transmitted,8,17.892420606666665,3,0.5751966621333651
chlorophyll.b,UV Transmitted,9,12.007541463333332,3,1.556247630302737
chlorophyll.b,Site Reference,1,10.583753003333333,3,2.0049564587643873
chlorophyll.b,Site Reference,11,10.751350147,4,2.208137754625679
chlorophyll.b,Site Reference,12,8.816544401333333,3,0.9879670618160435
chlorophyll.b,Site Reference,13,11.069289878333333,3,1.923504571608043
chlorophyll.b,Site Reference,14,10.116861315666666,3,2.14956778952295
chlorophyll.b,Site Reference,15,11.137458053333333,3,2.1976340156752796
chlorophyll.b,Site Reference,16,11.536043376666667,3,0.3098012401535049
chlorophyll.b,Site Reference,17,10.996017543666666,3,3.030438686752244
chlorophyll.b,Site Reference,18,10.52508810875,4,1.7395003071399986
chlorophyll.b,Site Reference,19,11.8872216425,4,0.4254435549191592
chlorophyll.b,Site Reference,2,10.882806853333333,3,0.5449558595065684
chlorophyll.b,Site Reference,20,10.434730848,3,1.06295820815944
chlorophyll.b,Site Reference,3,11.339467366666668,3,0.4446203519360902
chlorophyll.b,Site Reference,4,10.218943644666666,3,4.561044535017234
chlorophyll.b,Site Reference,5,10.099470433333334,3,0.9220800683119892
chlorophyll.b,Site Reference,6,12.154851313333333,3,1.541606262011316
chlorophyll.b,Site Reference,7,8.88391931,3,3.6676583663948965
chlorophyll.b,Site Reference,8,13.351253516666667,3,0.3820664845295687
chlorophyll.b,Site Reference,9,10.773809513,4,2.8670184131257206
chlorophyll.b,Lab Control,L1,18.656454686666667,3,0.3858873509440134
chlorophyll.b,Lab Control,L2,19.035170686666667,3,0.4551844553944801
chlorophyll.b,Lab Control,L3,18.17998572666667,3,1.0157766157728714
chlorophyll.a,UV Filtered,1,42.85772481,3,1.038255966529969
chlorophyll.a,UV Filtered,11,42.3776700325,4,4.666888074411114
chlorophyll.a,UV Filtered,12,42.16365763333333,3,3.126147919120778
chlorophyll.a,UV Filtered,13,46.25370964666667,3,3.061277671488003
chlorophyll.a,UV Filtered,14,41.07609347333334,3,3.74943855434162
chlorophyll.a,UV Filtered,15,46.05066343,3,4.138505598130866
chlorophyll.a,UV Filtered,16,40.780219556666665,3,3.6104377826306107
chlorophyll.a,UV Filtered,17,40.353285293333336,3,7.233579724170389
chlorophyll.a,UV Filtered,18,46.822464446666665,3,1.8430990139059764
chlorophyll.a,UV Filtered,19,45.61545941333333,3,1.6476489359143185
chlorophyll.a,UV Filtered,2,39.76426725,4,3.564569363289937
chlorophyll.a,UV Filtered,20,41.175943413333336,3,4.171435370809402
chlorophyll.a,UV Filtered,3,44.134063213333334,3,3.27862563710575
chlorophyll.a,UV Filtered,4,41.438227870000006,4,1.8946088706388227
chlorophyll.a,UV Filtered,5,42.04841132333333,3,3.2320831748827517
chlorophyll.a,UV Filtered,6,43.35778199,3,2.0049499111089593
chlorophyll.a,UV Filtered,7,40.893151413333335,3,1.1760824279776165
chlorophyll.a,UV Filtered,8,40.46995673333333,3,0.39686058016039744
chlorophyll.a,UV Filtered,9,40.02465934,3,4.315271219888365
chlorophyll.a,UV Transmitted,1,39.9749967,3,2.6301101528371804
chlorophyll.a,UV Transmitted,11,43.065431733333334,3,6.085000049423258
chlorophyll.a,UV Transmitted,12,43.49608726666666,3,1.3461627243950818
chlorophyll.a,UV Transmitted,13,41.38520118666667,3,4.751129325246523
chlorophyll.a,UV Transmitted,14,42.20634247666667,3,5.316754242748675
chlorophyll.a,UV Transmitted,15,43.97003573666667,3,4.281555907803196
chlorophyll.a,UV Transmitted,16,42.27893063,3,0.8716618441419354
chlorophyll.a,UV Transmitted,17,42.62481548,3,2.2101391285750753
chlorophyll.a,UV Transmitted,18,42.861805345,4,3.9126372989795475
chlorophyll.a,UV Transmitted,19,45.44446292,3,1.894365382735472
chlorophyll.a,UV Transmitted,2,41.060739393333336,3,3.3858724189548273
chlorophyll.a,UV Transmitted,20,41.10322062666667,3,5.913197429988613
chlorophyll.a,UV Transmitted,3,44.465697676666665,3,5.0919697021685035
chlorophyll.a,UV Transmitted,4,44.958869953333334,3,3.2033907253424507
chlorophyll.a,UV Transmitted,5,42.32102656,3,3.115857888696286
chlorophyll.a,UV Transmitted,6,40.624580736666665,3,4.731756663579782
chlorophyll.a,UV Transmitted,7,44.83095655666666,3,2.313507348615978
chlorophyll.a,UV Transmitted,8,40.71395949666667,3,0.9014335770177747
chlorophyll.a,UV Transmitted,9,42.656311833333334,3,2.9199062606678883
chlorophyll.a,Site Reference,1,38.079698083333334,3,6.040950219461667
